centroid_x,centroid_y,centroid_z,dim_x,dim_y,dim_z,volume,ijk,xc,yc,zc,xinc,yinc,zinc,nx,ny,nz,xmorig,ymorig,zmorig,zone,product,cog,density,class,zona,ni_ok_fi,co_ok_fi,fe_ok_fi,mgo_ok_f,sio2_ok_,smratio,finsolprod090135_def,finsolprod090135_comb,finsolprod090135_val,basicity,econ_val_usd,sum_econ_val_usd
Variable descriptions:,,,,,,,Datamine field : ijk,Datamine field : xc,Datamine field : yc,Datamine field : zc,Datamine field : xinc,Datamine field : yinc,Datamine field : zinc,Datamine field : nx,Datamine field : ny,Datamine field : nz,Datamine field : xmorig,Datamine field : ymorig,Datamine field : zmorig,Datamine field : zone,Datamine field : product,Datamine field : cog,Datamine field : density,Datamine field : class,Datamine field : zone_int,Datamine field : ni_ok_fi,Datamine field : co_ok_fi,Datamine field : fe_ok_fi,Datamine field : mgo_ok_f,Datamine field : sio2_ok_,Datamine field : smratio,29-Oct-2025,29-Oct-2025,,,,sum_econ_val_usd
Variable types:,,,,,,,float,float,float,float,float,float,float,float,float,float,float,float,float,name,name,name,float,name,float,float,float,float,float,float,float,name,name,double,double,double,float
572558.750000,9059433.750000,227.500000,12.500000,12.500000,1.000000,156.250000,231922.000000,572558.750000,9059434.000000,227.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,0.8<=[ni_ok]<0.9,15.300000,measured,14.000000,4.890225,0.622065,234.458750,112.803755,129.578623,13.218183,ob,obws,20.000000,5.326605,-24.000000,-24.000000
572571.250000,9059258.750000,219.500000,12.500000,12.500000,1.000000,156.250000,268809.000000,572571.250000,9059259.000000,219.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,7.860000,measured,10.000000,1.405597,0.121332,71.924006,97.499389,112.499889,6.767427,waste,obws,16.000000,2.979306,-12.000000,-12.000000
572571.250000,9059271.250000,221.500000,12.500000,12.500000,1.000000,156.250000,269046.000000,572571.250000,9059271.000000,221.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,11.720000,measured,14.000000,2.703345,0.318234,121.457216,134.384933,155.546601,10.579292,waste,obws,22.000000,4.240482,-18.000000,-18.000000
572571.250000,9059283.750000,222.500000,12.500000,12.500000,1.000000,156.250000,269282.000000,572571.250000,9059284.000000,222.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,11.290000,measured,13.000000,3.367158,0.347516,131.898024,124.244597,148.500434,10.577424,waste,obws,22.000000,4.125772,-18.000000,-18.000000
572571.250000,9059296.250000,222.500000,12.500000,12.500000,1.000000,156.250000,269517.000000,572571.250000,9059296.000000,222.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,11.290000,measured,13.000000,3.333478,0.334043,123.772329,131.937835,151.692800,9.619599,waste,obws,22.000000,4.349802,-18.000000,-18.000000
572571.250000,9059308.750000,221.500000,12.500000,12.500000,1.000000,156.250000,269751.000000,572571.250000,9059309.000000,221.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,13.150000,measured,14.000000,4.027573,0.447801,165.319482,134.905990,153.961708,12.374097,waste,obws,23.000000,4.807456,-21.000000,-21.000000
572571.250000,9059321.250000,222.500000,12.500000,12.500000,1.000000,156.250000,269987.000000,572571.250000,9059321.000000,222.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,16.720000,measured,19.000000,4.582448,0.515275,200.303810,191.062012,210.119338,13.732114,waste,obws,33.000000,6.788352,-27.000000,-27.000000
572571.250000,9059333.750000,226.500000,12.500000,12.500000,1.000000,156.250000,270226.000000,572571.250000,9059334.000000,226.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,24.440000,measured,27.000000,6.309287,0.669100,303.327166,258.195554,290.505476,23.049931,waste,obws,45.000000,9.099652,-39.000000,-39.000000
572571.250000,9059346.250000,226.500000,12.500000,12.500000,1.000000,156.250000,270461.000000,572571.250000,9059346.000000,226.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,24.440000,measured,27.000000,7.186089,0.881705,305.408078,255.232339,290.802543,19.307994,waste,obws,46.000000,9.553269,-39.000000,-39.000000
572571.250000,9059358.750000,227.500000,12.500000,12.500000,1.000000,156.250000,270697.000000,572571.250000,9059359.000000,227.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,28.300000,measured,31.000000,8.494889,1.070440,355.644834,288.413350,330.459598,24.747224,waste,obws,55.000000,10.534669,-33.000000,-33.000000
